-51.0,-57.0,-51.0,-51.0,-65.0,-80.0,-80.0,1
-64.0,-63.0,-56.0,-64.0,-47.0,-92.0,-83.0,0
-63.0,-59.0,-57.0,-65.0,-69.0,-80.0,-86.0,3
-64.0,-58.0,-48.0,-63.0,-42.0,-85.0,-93.0,0
-48.0,-54.0,-53.0,-51.0,-61.0,-77.0,-80.0,1
-50.0,-57.0,-59.0,-43.0,-62.0,-76.0,-78.0,1
-47.0,-56.0,-53.0,-53.0,-66.0,-85.0,-85.0,1
-55.0,-53.0,-57.0,-67.0,-64.0,-80.0,-78.0,3
-36.0,-60.0,-57.0,-37.0,-80.0,-72.0,-72.0,2
-52.0,-56.0,-52.0,-49.0,-61.0,-86.0,-81.0,1
-58.0,-56.0,-50.0,-58.0,-47.0,-87.0,-80.0,0
-59.0,-56.0,-58.0,-68.0,-62.0,-80.0,-81.0,3
-49.0,-52.0,-48.0,-44.0,-59.0,-80.0,-78.0,1
-51.0,-57.0,-52.0,-49.0,-60.0,-84.0,-83.0,1
-40.0,-55.0,-66.0,-39.0,-75.0,-73.0,-78.0,2
-63.0,-57.0,-61.0,-65.0,-73.0,-84.0,-84.0,3
-64.0,-59.0,-65.0,-70.0,-84.0,-90.0,-89.0,3
-45.0,-59.0,-54.0,-51.0,-69.0,-77.0,-85.0,1
-52.0,-54.0,-49.0,-52.0,-58.0,-81.0,-82.0,1
-57.0,-54.0,-49.0,-61.0,-43.0,-79.0,-85.0,0
-59.0,-57.0,-60.0,-58.0,-67.0,-80.0,-79.0,3
-59.0,-52.0,-56.0,-59.0,-51.0,-89.0,-84.0,0
-58.0,-58.0,-51.0,-61.0,-51.0,-85.0,-89.0,0
-48.0,-55.0,-58.0,-50.0,-63.0,-81.0,-86.0,1
-67.0,-56.0,-65.0,-68.0,-69.0,-83.0,-82.0,3
-51.0,-54.0,-53.0,-55.0,-66.0,-77.0,-85.0,1
-47.0,-52.0,-56.0,-56.0,-62.0,-83.0,-83.0,1
-59.0,-54.0,-49.0,-60.0,-46.0,-86.0,-87.0,0
-47.0,-58.0,-51.0,-43.0,-65.0,-80.0,-80.0,1
-49.0,-53.0,-53.0,-51.0,-64.0,-79.0,-80.0,1
-36.0,-58.0,-54.0,-27.0,-67.0,-73.0,-78.0,2
-65.0,-54.0,-57.0,-66.0,-70.0,-82.0,-80.0,3
-61.0,-55.0,-62.0,-62.0,-65.0,-82.0,-81.0,3
-59.0,-53.0,-45.0,-60.0,-51.0,-87.0,-86.0,0
-67.0,-57.0,-60.0,-60.0,-75.0,-83.0,-87.0,3
-52.0,-57.0,-52.0,-52.0,-70.0,-87.0,-77.0,1
-59.0,-52.0,-57.0,-59.0,-50.0,-88.0,-88.0,0
-43.0,-58.0,-50.0,-45.0,-71.0,-68.0,-74.0,2
-41.0,-58.0,-48.0,-40.0,-62.0,-72.0,-76.0,2
-61.0,-55.0,-45.0,-57.0,-53.0,-91.0,-82.0,0
-37.0,-56.0,-57.0,-39.0,-61.0,-72.0,-74.0,2
-35.0,-60.0,-54.0,-35.0,-61.0,-81.0,-80.0,2
-63.0,-57.0,-65.0,-69.0,-77.0,-81.0,-85.0,3
-44.0,-52.0,-60.0,-37.0,-66.0,-67.0,-73.0,2
-61.0,-56.0,-67.0,-61.0,-69.0,-82.0,-87.0,3
-47.0,-53.0,-50.0,-52.0,-65.0,-80.0,-78.0,1
-68.0,-56.0,-65.0,-67.0,-76.0,-87.0,-85.0,3
-58.0,-59.0,-44.0,-57.0,-54.0,-82.0,-89.0,0
-50.0,-52.0,-52.0,-47.0,-65.0,-77.0,-89.0,1
-61.0,-59.0,-58.0,-62.0,-65.0,-78.0,-78.0,3
-61.0,-57.0,-51.0,-56.0,-46.0,-88.0,-85.0,0
-60.0,-60.0,-46.0,-54.0,-49.0,-81.0,-83.0,0
-37.0,-58.0,-53.0,-43.0,-76.0,-66.0,-69.0,2
-65.0,-58.0,-70.0,-66.0,-71.0,-85.0,-83.0,3
-36.0,-54.0,-56.0,-35.0,-61.0,-70.0,-79.0,2
-49.0,-54.0,-50.0,-51.0,-66.0,-78.0,-82.0,1
-60.0,-56.0,-59.0,-66.0,-68.0,-81.0,-83.0,3
-42.0,-54.0,-51.0,-47.0,-64.0,-70.0,-65.0,2
-50.0,-58.0,-54.0,-51.0,-60.0,-80.0,-82.0,1
-61.0,-59.0,-54.0,-65.0,-66.0,-81.0,-89.0,3
-58.0,-56.0,-52.0,-54.0,-52.0,-87.0,-84.0,0
-58.0,-55.0,-59.0,-58.0,-72.0,-77.0,-81.0,3
-39.0,-54.0,-55.0,-37.0,-71.0,-64.0,-67.0,2
-60.0,-56.0,-56.0,-63.0,-65.0,-80.0,-83.0,3
-57.0,-55.0,-48.0,-59.0,-51.0,-81.0,-86.0,0
-50.0,-54.0,-54.0,-54.0,-66.0,-77.0,-86.0,1
-61.0,-60.0,-60.0,-65.0,-67.0,-82.0,-78.0,3
-38.0,-53.0,-52.0,-40.0,-63.0,-73.0,-77.0,2
-18.0,-53.0,-60.0,-17.0,-71.0,-74.0,-71.0,2
-46.0,-57.0,-53.0,-48.0,-58.0,-80.0,-86.0,1
-61.0,-62.0,-54.0,-69.0,-46.0,-93.0,-98.0,0
-57.0,-52.0,-44.0,-59.0,-51.0,-88.0,-85.0,0
-51.0,-58.0,-52.0,-48.0,-68.0,-86.0,-84.0,1
-61.0,-56.0,-49.0,-60.0,-52.0,-91.0,-85.0,0
-43.0,-62.0,-66.0,-43.0,-73.0,-77.0,-76.0,2
-43.0,-59.0,-54.0,-39.0,-63.0,-79.0,-87.0,1
-53.0,-54.0,-59.0,-54.0,-62.0,-81.0,-82.0,1
-63.0,-57.0,-60.0,-64.0,-72.0,-80.0,-78.0,3
-60.0,-57.0,-55.0,-66.0,-69.0,-82.0,-89.0,3
-40.0,-63.0,-64.0,-50.0,-64.0,-75.0,-78.0,1
-62.0,-59.0,-61.0,-59.0,-69.0,-82.0,-83.0,3
-63.0,-57.0,-47.0,-64.0,-49.0,-86.0,-81.0,0
-61.0,-54.0,-51.0,-63.0,-44.0,-87.0,-88.0,0
-52.0,-56.0,-52.0,-49.0,-63.0,-87.0,-85.0,1
-46.0,-58.0,-54.0,-48.0,-63.0,-78.0,-75.0,1
-59.0,-57.0,-52.0,-71.0,-49.0,-92.0,-88.0,0
-63.0,-57.0,-63.0,-64.0,-67.0,-81.0,-83.0,3
-17.0,-63.0,-60.0,-14.0,-72.0,-72.0,-77.0,2
-48.0,-53.0,-50.0,-55.0,-66.0,-83.0,-82.0,1
-56.0,-55.0,-45.0,-59.0,-52.0,-84.0,-86.0,0
-61.0,-58.0,-60.0,-62.0,-70.0,-81.0,-85.0,3
